id,uid,name,description,website,business_type,created_at,updated_at,log_data
"1","csm_n3l4r455jG70LrR","InitiativeOne",,,"B2B","2021-04-29 09:24:31.312801","2021-04-29 09:24:31.572011","{""h"": [{""c"": {""id"": 1, ""uid"": ""csm_n3l4r455jG70LrR"", ""name"": ""InitiativeOne"", ""website"": null, ""created_at"": ""2021-04-29T09:24:31.312801"", ""updated_at"": ""2021-04-29T09:24:31.312801"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1619688271313}, {""c"": {""updated_at"": ""2021-04-29 09:24:31.572011""}, ""v"": 2, ""ts"": 1619688271572}], ""v"": 2}"
"86","csm_ptstugRCcEXyepI","N/A",,"n/a","B2C","2021-07-26 07:43:33.042604","2022-02-11 08:28:20.743454","{""h"": [{""c"": {""id"": 86, ""uid"": ""csm_ptstugRCcEXyepI"", ""name"": ""N/A"", ""website"": null, ""created_at"": ""2021-07-26T07:43:33.042604"", ""updated_at"": ""2021-07-26T07:43:33.042604"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1627285413043}, {""c"": {""website"": ""n/a"", ""updated_at"": ""2022-02-11 08:28:20.743454"", ""business_type"": ""B2C""}, ""v"": 2, ""ts"": 1644568100743}], ""v"": 2}"
"110","csm_EX7cGcNr4w9aoCi","SmartThings",,"https://www.smartthings.com/","B2C","2021-07-26 07:50:39.807231","2021-08-20 09:57:51.963619","{""h"": [{""c"": {""id"": 110, ""uid"": ""csm_EX7cGcNr4w9aoCi"", ""name"": ""SmartThings"", ""website"": null, ""created_at"": ""2021-07-26T07:50:39.807231"", ""updated_at"": ""2021-07-26T07:50:39.807231"", ""description"": null, ""business_type"": ""B2C""}, ""v"": 1, ""ts"": 1627285839807}, {""c"": {""website"": ""https://www.smartthings.com/"", ""updated_at"": ""2021-08-20 07:20:07.897796""}, ""v"": 2, ""ts"": 1629444007898}, {""c"": {""updated_at"": ""2021-08-20 09:57:51.963619""}, ""v"": 3, ""ts"": 1629453471964}], ""v"": 3}"
"73","csm_YYo4SbvZ0BWvkyr","Nulogy",,"https://nulogy.com/","B2B","2021-05-28 07:24:03.937963","2021-08-20 09:57:57.865552","{""h"": [{""c"": {""id"": 73, ""uid"": ""csm_YYo4SbvZ0BWvkyr"", ""name"": ""Nulogy"", ""website"": null, ""created_at"": ""2021-05-28T07:24:03.937963"", ""updated_at"": ""2021-05-28T07:24:03.937963"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1622186643938}, {""c"": {""updated_at"": ""2021-05-28 07:24:03.954521""}, ""v"": 2, ""ts"": 1622186643955}, {""c"": {""website"": ""https://nulogy.com/"", ""updated_at"": ""2021-08-20 07:19:55.452826""}, ""v"": 3, ""ts"": 1629443995453}, {""c"": {""updated_at"": ""2021-08-20 09:57:57.865552""}, ""v"": 4, ""ts"": 1629453477866}], ""v"": 4}"
"69","csm_etUmz5dRcEbWc9t","SAP Customer Data Cloud Solutions, formerly Gigya ",,"https://www.sap.com/products/crm/customer-data-management.html","B2B","2021-05-28 07:24:01.27894","2021-09-01 19:39:25.756325","{""h"": [{""c"": {""id"": 69, ""uid"": ""csm_etUmz5dRcEbWc9t"", ""name"": ""SAP Customer Data Cloud Solutions, formerly Gigya "", ""website"": null, ""created_at"": ""2021-05-28T07:24:01.27894"", ""updated_at"": ""2021-05-28T07:24:01.27894"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1622186641279}, {""c"": {""updated_at"": ""2021-05-28 07:24:01.300734""}, ""v"": 2, ""ts"": 1622186641301}, {""c"": {""website"": ""https://www.sap.com/products/crm/customer-data-management.html"", ""updated_at"": ""2021-09-01 19:33:48.676538""}, ""v"": 3, ""ts"": 1630524828677}, {""c"": {""updated_at"": ""2021-09-01 19:39:25.756325""}, ""v"": 4, ""ts"": 1630525165756}], ""v"": 4}"
"145","csm_OTcNLxpUUzmRc9G","Safety Stage",,"https://safetystage.com/","B2B","2021-08-04 05:37:49.472983","2021-08-20 09:57:58.433619","{""h"": [{""c"": {""id"": 145, ""uid"": ""csm_OTcNLxpUUzmRc9G"", ""name"": ""Safety Stage"", ""website"": null, ""created_at"": ""2021-08-04T05:37:49.472983"", ""updated_at"": ""2021-08-04T05:37:49.472983"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1628055469473}, {""c"": {""website"": ""https://safetystage.com/"", ""updated_at"": ""2021-08-20 07:19:56.92599""}, ""v"": 2, ""ts"": 1629443996926}, {""c"": {""updated_at"": ""2021-08-20 09:57:58.433619""}, ""v"": 3, ""ts"": 1629453478434}], ""v"": 3}"
"129","csm_QtzfIBlRQBELSV7","PayFit",,"https://payfit.com/en/","B2B","2021-07-26 07:55:45.200231","2021-08-20 09:58:15.882373","{""h"": [{""c"": {""id"": 129, ""uid"": ""csm_QtzfIBlRQBELSV7"", ""name"": ""PayFit"", ""website"": null, ""created_at"": ""2021-07-26T07:55:45.200231"", ""updated_at"": ""2021-07-26T07:55:45.200231"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1627286145200}, {""c"": {""website"": ""https://payfit.com/en/"", ""updated_at"": ""2021-08-20 07:19:56.491379""}, ""v"": 2, ""ts"": 1629443996491}, {""c"": {""updated_at"": ""2021-08-20 09:58:15.882373""}, ""v"": 3, ""ts"": 1629453495882}], ""v"": 3}"
"2","csm_R1PjN3H7flb6qJ1","QRA Corp",,"https://qracorp.com/","B2B","2021-05-17 13:40:18.821856","2021-08-20 09:47:25.07194","{""h"": [{""c"": {""id"": 2, ""uid"": ""csm_R1PjN3H7flb6qJ1"", ""name"": ""QRA Corp"", ""website"": null, ""created_at"": ""2021-05-17T13:40:18.821856"", ""updated_at"": ""2021-05-17T13:40:18.821856"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1621258818822}, {""c"": {""website"": ""https://qracorp.com/"", ""updated_at"": ""2021-08-20 07:20:07.493757""}, ""v"": 2, ""ts"": 1629444007494}, {""c"": {""updated_at"": ""2021-08-20 09:46:32.80022""}, ""v"": 3, ""ts"": 1629452792800}, {""c"": {""updated_at"": ""2021-08-20 09:46:49.884548""}, ""v"": 4, ""ts"": 1629452809885}, {""c"": {""updated_at"": ""2021-08-20 09:47:13.716473""}, ""v"": 5, ""ts"": 1629452833716}, {""c"": {""updated_at"": ""2021-08-20 09:47:25.07194""}, ""v"": 6, ""ts"": 1629452845072}], ""v"": 6}"
"72","csm_kvTZCwROpr0MSdr","Optimizely",,"https://www.optimizely.com/","B2B","2021-05-28 07:24:03.137586","2021-09-22 13:38:25.576542","{""h"": [{""c"": {""id"": 72, ""uid"": ""csm_kvTZCwROpr0MSdr"", ""name"": ""Optimizely"", ""website"": null, ""created_at"": ""2021-05-28T07:24:03.137586"", ""updated_at"": ""2021-05-28T07:24:03.137586"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1622186643138}, {""c"": {""updated_at"": ""2021-05-28 07:24:03.162295""}, ""v"": 2, ""ts"": 1622186643162}, {""c"": {""website"": ""https://www.optimizely.com/"", ""updated_at"": ""2021-08-27 19:51:16.823654""}, ""v"": 3, ""ts"": 1630093876824}, {""c"": {""updated_at"": ""2021-09-22 13:38:25.576542""}, ""v"": 4, ""ts"": 1632317905577}], ""v"": 4}"
"238","csm_yr2jiQsAEVBv1Uq","Facebook",,"www.facebook.com","B2B","2021-10-14 06:55:24.329142","2021-10-14 06:55:44.287307","{""h"": [{""c"": {""id"": 238, ""uid"": ""csm_yr2jiQsAEVBv1Uq"", ""name"": ""Facebook"", ""website"": ""www.facebook.com"", ""created_at"": ""2021-10-14T06:55:24.329142"", ""updated_at"": ""2021-10-14T06:55:24.329142"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1634194524329}, {""c"": {""updated_at"": ""2021-10-14 06:55:44.287307""}, ""v"": 2, ""ts"": 1634194544287}], ""v"": 2}"
