id,uid,article_id,industry_id,created_at,updated_at,log_data
"1","csi_9fnCClBR1nDd4qA","1","153","2021-04-29 09:24:36.615532","2021-04-29 09:24:36.615532","{""h"": [{""c"": {""id"": 1, ""uid"": ""csi_9fnCClBR1nDd4qA"", ""article_id"": 1, ""created_at"": ""2021-04-29T09:24:36.615532"", ""updated_at"": ""2021-04-29T09:24:36.615532"", ""industry_id"": 153}, ""v"": 1, ""ts"": 1619688276616}], ""v"": 1}"
"2","csi_fmXILUymuzAQlOJ","1","133","2021-04-29 09:24:36.696893","2021-04-29 09:24:36.696893","{""h"": [{""c"": {""id"": 2, ""uid"": ""csi_fmXILUymuzAQlOJ"", ""article_id"": 1, ""created_at"": ""2021-04-29T09:24:36.696893"", ""updated_at"": ""2021-04-29T09:24:36.696893"", ""industry_id"": 133}, ""v"": 1, ""ts"": 1619688276697}], ""v"": 1}"
"3","csi_Pa0PeiCtPvYwdTf","2","586","2021-05-17 13:40:19.226166","2021-05-17 13:40:19.226166","{""h"": [{""c"": {""id"": 3, ""uid"": ""csi_Pa0PeiCtPvYwdTf"", ""article_id"": 2, ""created_at"": ""2021-05-17T13:40:19.226166"", ""updated_at"": ""2021-05-17T13:40:19.226166"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1621258819226}], ""v"": 1}"
"4","csi_IKfNFNZz6txpgVz","3","1314","2021-05-17 13:50:37.435291","2021-05-17 13:50:37.435291","{""h"": [{""c"": {""id"": 4, ""uid"": ""csi_IKfNFNZz6txpgVz"", ""article_id"": 3, ""created_at"": ""2021-05-17T13:50:37.435291"", ""updated_at"": ""2021-05-17T13:50:37.435291"", ""industry_id"": 1314}, ""v"": 1, ""ts"": 1621259437435}], ""v"": 1}"
"5","csi_oQO2gR4gBQo4fUp","3","586","2021-05-17 13:50:37.533898","2021-05-17 13:50:37.533898","{""h"": [{""c"": {""id"": 5, ""uid"": ""csi_oQO2gR4gBQo4fUp"", ""article_id"": 3, ""created_at"": ""2021-05-17T13:50:37.533898"", ""updated_at"": ""2021-05-17T13:50:37.533898"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1621259437534}], ""v"": 1}"
"1222","csi_tC5wih7G9qfxOGt","47","1312","2022-02-10 11:04:04.029735","2022-02-10 11:04:04.029735","{""h"": [{""c"": {""id"": 1222, ""uid"": ""csi_tC5wih7G9qfxOGt"", ""article_id"": 47, ""created_at"": ""2022-02-10T11:04:04.029735"", ""updated_at"": ""2022-02-10T11:04:04.029735"", ""industry_id"": 1312}, ""v"": 1, ""ts"": 1644491044030}], ""v"": 1}"
"1223","csi_3izAbR56gHRf3uu","47","586","2022-02-10 11:04:04.040529","2022-02-10 11:04:04.040529","{""h"": [{""c"": {""id"": 1223, ""uid"": ""csi_3izAbR56gHRf3uu"", ""article_id"": 47, ""created_at"": ""2022-02-10T11:04:04.040529"", ""updated_at"": ""2022-02-10T11:04:04.040529"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1644491044041}], ""v"": 1}"
"1232","csi_UFliREFuGGpZgiI","67","586","2022-02-10 11:04:07.516154","2022-02-10 11:04:07.516154","{""h"": [{""c"": {""id"": 1232, ""uid"": ""csi_UFliREFuGGpZgiI"", ""article_id"": 67, ""created_at"": ""2022-02-10T11:04:07.516154"", ""updated_at"": ""2022-02-10T11:04:07.516154"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1644491047516}], ""v"": 1}"
"153","csi_nPkJmbmFpShAI87","64","586","2021-05-19 13:43:16.168341","2021-05-19 13:43:16.168341","{""h"": [{""c"": {""id"": 153, ""uid"": ""csi_nPkJmbmFpShAI87"", ""article_id"": 64, ""created_at"": ""2021-05-19T13:43:16.168341"", ""updated_at"": ""2021-05-19T13:43:16.168341"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1621431796168}], ""v"": 1}"
"154","csi_kSFF37ppmrzvLmd","64","170","2021-05-19 13:43:16.176317","2021-05-19 13:43:16.176317","{""h"": [{""c"": {""id"": 154, ""uid"": ""csi_kSFF37ppmrzvLmd"", ""article_id"": 64, ""created_at"": ""2021-05-19T13:43:16.176317"", ""updated_at"": ""2021-05-19T13:43:16.176317"", ""industry_id"": 170}, ""v"": 1, ""ts"": 1621431796176}], ""v"": 1}"
"155","csi_yC0NK3zahBA9InV","64","389","2021-05-19 13:43:16.184279","2021-05-19 13:43:16.184279","{""h"": [{""c"": {""id"": 155, ""uid"": ""csi_yC0NK3zahBA9InV"", ""article_id"": 64, ""created_at"": ""2021-05-19T13:43:16.184279"", ""updated_at"": ""2021-05-19T13:43:16.184279"", ""industry_id"": 389}, ""v"": 1, ""ts"": 1621431796184}], ""v"": 1}"
"163","csi_AH8CVFeq0HkfdMA","66","639","2021-05-19 13:50:59.992746","2021-05-19 13:50:59.992746","{""h"": [{""c"": {""id"": 163, ""uid"": ""csi_AH8CVFeq0HkfdMA"", ""article_id"": 66, ""created_at"": ""2021-05-19T13:50:59.992746"", ""updated_at"": ""2021-05-19T13:50:59.992746"", ""industry_id"": 639}, ""v"": 1, ""ts"": 1621432259993}], ""v"": 1}"
"164","csi_wugPmj7Eh4083vQ","66","586","2021-05-19 13:51:00.004071","2021-05-19 13:51:00.004071","{""h"": [{""c"": {""id"": 164, ""uid"": ""csi_wugPmj7Eh4083vQ"", ""article_id"": 66, ""created_at"": ""2021-05-19T13:51:00.004071"", ""updated_at"": ""2021-05-19T13:51:00.004071"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1621432260004}], ""v"": 1}"
"1339","csi_muKMADTENfb0oFl","190","586","2022-02-11 10:00:36.7349","2022-02-11 10:00:36.7349","{""h"": [{""c"": {""id"": 1339, ""uid"": ""csi_muKMADTENfb0oFl"", ""article_id"": 190, ""created_at"": ""2022-02-11T10:00:36.7349"", ""updated_at"": ""2022-02-11T10:00:36.7349"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1644573636735}], ""v"": 1}"
"1340","csi_ms5H65wvXxTFGMy","190","1369","2022-02-11 10:00:36.741922","2022-02-11 10:00:36.741922","{""h"": [{""c"": {""id"": 1340, ""uid"": ""csi_ms5H65wvXxTFGMy"", ""article_id"": 190, ""created_at"": ""2022-02-11T10:00:36.741922"", ""updated_at"": ""2022-02-11T10:00:36.741922"", ""industry_id"": 1369}, ""v"": 1, ""ts"": 1644573636742}], ""v"": 1}"
"1226","csi_qzvKUOWWGsPZCwr","409","1315","2022-02-10 11:04:05.360648","2022-02-10 11:04:05.360648","{""h"": [{""c"": {""id"": 1226, ""uid"": ""csi_qzvKUOWWGsPZCwr"", ""article_id"": 409, ""created_at"": ""2022-02-10T11:04:05.360648"", ""updated_at"": ""2022-02-10T11:04:05.360648"", ""industry_id"": 1315}, ""v"": 1, ""ts"": 1644491045361}], ""v"": 1}"
"1227","csi_y1orbBxGXoHNbsB","406","586","2022-02-10 11:04:06.436929","2022-02-10 11:04:06.436929","{""h"": [{""c"": {""id"": 1227, ""uid"": ""csi_y1orbBxGXoHNbsB"", ""article_id"": 406, ""created_at"": ""2022-02-10T11:04:06.436929"", ""updated_at"": ""2022-02-10T11:04:06.436929"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1644491046437}], ""v"": 1}"
"1228","csi_xyQPZBoXFwBafaY","406","426","2022-02-10 11:04:06.442805","2022-02-10 11:04:06.442805","{""h"": [{""c"": {""id"": 1228, ""uid"": ""csi_xyQPZBoXFwBafaY"", ""article_id"": 406, ""created_at"": ""2022-02-10T11:04:06.442805"", ""updated_at"": ""2022-02-10T11:04:06.442805"", ""industry_id"": 426}, ""v"": 1, ""ts"": 1644491046443}], ""v"": 1}"
"1229","csi_WGx0UHKRcp5kM2A","406","542","2022-02-10 11:04:06.448395","2022-02-10 11:04:06.448395","{""h"": [{""c"": {""id"": 1229, ""uid"": ""csi_WGx0UHKRcp5kM2A"", ""article_id"": 406, ""created_at"": ""2022-02-10T11:04:06.448395"", ""updated_at"": ""2022-02-10T11:04:06.448395"", ""industry_id"": 542}, ""v"": 1, ""ts"": 1644491046448}], ""v"": 1}"
