id,uid,article_id,type,position,created_at,updated_at,log_data
"7600","css_DrcZiRWay0HXO7n","400","background","0","2022-02-10 11:08:35.000664","2022-02-10 11:08:35.000664","{""h"": [{""c"": {""id"": 7600, ""uid"": ""css_DrcZiRWay0HXO7n"", ""type"": ""background"", ""position"": 0, ""article_id"": 400, ""created_at"": ""2022-02-10T11:08:35.000664"", ""updated_at"": ""2022-02-10T11:08:35.000664""}, ""v"": 1, ""ts"": 1644491315001}], ""v"": 1}"
"7601","css_R2S09uCeYErJcDT","400","overview","1","2022-02-10 11:08:35.017714","2022-02-10 11:08:35.017714","{""h"": [{""c"": {""id"": 7601, ""uid"": ""css_R2S09uCeYErJcDT"", ""type"": ""overview"", ""position"": 1, ""article_id"": 400, ""created_at"": ""2022-02-10T11:08:35.017714"", ""updated_at"": ""2022-02-10T11:08:35.017714""}, ""v"": 1, ""ts"": 1644491315018}], ""v"": 1}"
"7602","css_VkbIP8AVJTUgy3J","400","outcome","2","2022-02-10 11:08:35.052157","2022-02-10 11:08:35.052157","{""h"": [{""c"": {""id"": 7602, ""uid"": ""css_VkbIP8AVJTUgy3J"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 400, ""created_at"": ""2022-02-10T11:08:35.052157"", ""updated_at"": ""2022-02-10T11:08:35.052157""}, ""v"": 1, ""ts"": 1644491315052}], ""v"": 1}"
"3919","css_fPMXsoTLwQ6BEUS","141","background","0","2021-10-19 09:35:28.592221","2021-10-19 09:35:28.592221","{""h"": [{""c"": {""id"": 3919, ""uid"": ""css_fPMXsoTLwQ6BEUS"", ""type"": ""background"", ""position"": 0, ""article_id"": 141, ""created_at"": ""2021-10-19T09:35:28.592221"", ""updated_at"": ""2021-10-19T09:35:28.592221""}, ""v"": 1, ""ts"": 1634636128592}], ""v"": 1}"
"3920","css_0Vv3XBXPU35Xudb","141","overview","1","2021-10-19 09:35:28.644859","2021-10-19 09:35:28.644859","{""h"": [{""c"": {""id"": 3920, ""uid"": ""css_0Vv3XBXPU35Xudb"", ""type"": ""overview"", ""position"": 1, ""article_id"": 141, ""created_at"": ""2021-10-19T09:35:28.644859"", ""updated_at"": ""2021-10-19T09:35:28.644859""}, ""v"": 1, ""ts"": 1634636128645}], ""v"": 1}"
"3921","css_Xm1WzaN0P6EdwNN","141","outcome","2","2021-10-19 09:35:28.74403","2021-10-19 09:35:28.74403","{""h"": [{""c"": {""id"": 3921, ""uid"": ""css_Xm1WzaN0P6EdwNN"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 141, ""created_at"": ""2021-10-19T09:35:28.74403"", ""updated_at"": ""2021-10-19T09:35:28.74403""}, ""v"": 1, ""ts"": 1634636128744}], ""v"": 1}"
"4435","css_7PMO3GNSyqyiFvI","194","background","0","2021-11-03 10:47:15.563737","2021-11-03 10:47:15.563737","{""h"": [{""c"": {""id"": 4435, ""uid"": ""css_7PMO3GNSyqyiFvI"", ""type"": ""background"", ""position"": 0, ""article_id"": 194, ""created_at"": ""2021-11-03T10:47:15.563737"", ""updated_at"": ""2021-11-03T10:47:15.563737""}, ""v"": 1, ""ts"": 1635936435564}], ""v"": 1}"
"4436","css_dvXchY6WwOJJkSV","194","overview","1","2021-11-03 10:47:15.628203","2021-11-03 10:47:15.628203","{""h"": [{""c"": {""id"": 4436, ""uid"": ""css_dvXchY6WwOJJkSV"", ""type"": ""overview"", ""position"": 1, ""article_id"": 194, ""created_at"": ""2021-11-03T10:47:15.628203"", ""updated_at"": ""2021-11-03T10:47:15.628203""}, ""v"": 1, ""ts"": 1635936435628}], ""v"": 1}"
"4439","css_QONDDp9Do8IT1Gg","194","outcome","2","2021-11-03 10:47:15.761302","2021-11-03 10:47:15.761302","{""h"": [{""c"": {""id"": 4439, ""uid"": ""css_QONDDp9Do8IT1Gg"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 194, ""created_at"": ""2021-11-03T10:47:15.761302"", ""updated_at"": ""2021-11-03T10:47:15.761302""}, ""v"": 1, ""ts"": 1635936435761}], ""v"": 1}"
"6955","css_gHeMmi4SW7sPev1","146","background","0","2022-01-25 08:56:44.280924","2022-01-25 08:56:44.280924","{""h"": [{""c"": {""id"": 6955, ""uid"": ""css_gHeMmi4SW7sPev1"", ""type"": ""background"", ""position"": 0, ""article_id"": 146, ""created_at"": ""2022-01-25T08:56:44.280924"", ""updated_at"": ""2022-01-25T08:56:44.280924""}, ""v"": 1, ""ts"": 1643101004281}], ""v"": 1}"
"6956","css_bOTH6EGFZRfyHav","146","overview","1","2022-01-25 08:56:44.287755","2022-01-25 08:56:44.287755","{""h"": [{""c"": {""id"": 6956, ""uid"": ""css_bOTH6EGFZRfyHav"", ""type"": ""overview"", ""position"": 1, ""article_id"": 146, ""created_at"": ""2022-01-25T08:56:44.287755"", ""updated_at"": ""2022-01-25T08:56:44.287755""}, ""v"": 1, ""ts"": 1643101004288}], ""v"": 1}"
"6957","css_9fzXkbkPoxqbbYE","146","outcome","2","2022-01-25 08:56:44.316694","2022-01-25 08:56:44.316694","{""h"": [{""c"": {""id"": 6957, ""uid"": ""css_9fzXkbkPoxqbbYE"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 146, ""created_at"": ""2022-01-25T08:56:44.316694"", ""updated_at"": ""2022-01-25T08:56:44.316694""}, ""v"": 1, ""ts"": 1643101004317}], ""v"": 1}"
"7735","css_P9gzSlH7LZMJfQ9","232","background","0","2022-02-16 09:18:07.248035","2022-02-16 09:18:07.248035","{""h"": [{""c"": {""id"": 7735, ""uid"": ""css_P9gzSlH7LZMJfQ9"", ""type"": ""background"", ""position"": 0, ""article_id"": 232, ""created_at"": ""2022-02-16T09:18:07.248035"", ""updated_at"": ""2022-02-16T09:18:07.248035""}, ""v"": 1, ""ts"": 1645003087248}], ""v"": 1}"
"7736","css_Cb3gANCxhYPT2RQ","232","overview","1","2022-02-16 09:18:07.255191","2022-02-16 09:18:07.255191","{""h"": [{""c"": {""id"": 7736, ""uid"": ""css_Cb3gANCxhYPT2RQ"", ""type"": ""overview"", ""position"": 1, ""article_id"": 232, ""created_at"": ""2022-02-16T09:18:07.255191"", ""updated_at"": ""2022-02-16T09:18:07.255191""}, ""v"": 1, ""ts"": 1645003087255}], ""v"": 1}"
"7737","css_WY4OMQopBDNlgIe","232","outcome","2","2022-02-16 09:18:07.271949","2022-02-16 09:18:07.271949","{""h"": [{""c"": {""id"": 7737, ""uid"": ""css_WY4OMQopBDNlgIe"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 232, ""created_at"": ""2022-02-16T09:18:07.271949"", ""updated_at"": ""2022-02-16T09:18:07.271949""}, ""v"": 1, ""ts"": 1645003087272}], ""v"": 1}"
"7513","css_qBqGNCEooU2235Q","398","background","0","2022-02-07 18:22:12.283114","2022-02-07 18:22:12.283114","{""h"": [{""c"": {""id"": 7513, ""uid"": ""css_qBqGNCEooU2235Q"", ""type"": ""background"", ""position"": 0, ""article_id"": 398, ""created_at"": ""2022-02-07T18:22:12.283114"", ""updated_at"": ""2022-02-07T18:22:12.283114""}, ""v"": 1, ""ts"": 1644258132283}], ""v"": 1}"
"7514","css_bfF6lKuRDtHIpJP","398","overview","1","2022-02-07 18:22:12.291696","2022-02-07 18:22:12.291696","{""h"": [{""c"": {""id"": 7514, ""uid"": ""css_bfF6lKuRDtHIpJP"", ""type"": ""overview"", ""position"": 1, ""article_id"": 398, ""created_at"": ""2022-02-07T18:22:12.291696"", ""updated_at"": ""2022-02-07T18:22:12.291696""}, ""v"": 1, ""ts"": 1644258132292}], ""v"": 1}"
"7515","css_lutwWnAB3L4x4Hp","398","outcome","2","2022-02-07 18:22:12.316127","2022-02-07 18:22:12.316127","{""h"": [{""c"": {""id"": 7515, ""uid"": ""css_lutwWnAB3L4x4Hp"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 398, ""created_at"": ""2022-02-07T18:22:12.316127"", ""updated_at"": ""2022-02-07T18:22:12.316127""}, ""v"": 1, ""ts"": 1644258132316}], ""v"": 1}"
"7603","css_0j2E0j8Oxq9FZk4","48","background","0","2022-02-10 11:08:35.261023","2022-02-10 11:08:35.261023","{""h"": [{""c"": {""id"": 7603, ""uid"": ""css_0j2E0j8Oxq9FZk4"", ""type"": ""background"", ""position"": 0, ""article_id"": 48, ""created_at"": ""2022-02-10T11:08:35.261023"", ""updated_at"": ""2022-02-10T11:08:35.261023""}, ""v"": 1, ""ts"": 1644491315261}], ""v"": 1}"
"7604","css_k2aJ7QzfIliU8yy","48","overview","1","2022-02-10 11:08:35.309711","2022-02-10 11:08:35.309711","{""h"": [{""c"": {""id"": 7604, ""uid"": ""css_k2aJ7QzfIliU8yy"", ""type"": ""overview"", ""position"": 1, ""article_id"": 48, ""created_at"": ""2022-02-10T11:08:35.309711"", ""updated_at"": ""2022-02-10T11:08:35.309711""}, ""v"": 1, ""ts"": 1644491315310}], ""v"": 1}"
