id,uid,primary,article_id,skill_id,created_at,updated_at,log_data,search_id
"2","csk_a1gcbYY9spXYIeb",,"1","449","2021-04-29 09:24:37.479685","2021-04-29 09:24:37.479685","{""h"": [{""c"": {""id"": 2, ""uid"": ""csk_a1gcbYY9spXYIeb"", ""primary"": null, ""skill_id"": 449, ""article_id"": 1, ""created_at"": ""2021-04-29T09:24:37.479685"", ""updated_at"": ""2021-04-29T09:24:37.479685""}, ""v"": 1, ""ts"": 1619688277480}], ""v"": 1}",
"1","csk_DH6pxdapKCjb4M6","t","1","244","2021-04-29 09:24:37.352125","2021-04-29 09:24:37.599334","{""h"": [{""c"": {""id"": 1, ""uid"": ""csk_DH6pxdapKCjb4M6"", ""primary"": null, ""skill_id"": 244, ""article_id"": 1, ""created_at"": ""2021-04-29T09:24:37.352125"", ""updated_at"": ""2021-04-29T09:24:37.352125""}, ""v"": 1, ""ts"": 1619688277352}, {""c"": {""primary"": true, ""updated_at"": ""2021-04-29 09:24:37.599334""}, ""v"": 2, ""ts"": 1619688277599}], ""v"": 2}",
"3","csk_gHDqflMKlpWWLXg","t","2","425","2021-05-17 13:40:19.276126","2021-05-17 13:40:19.298491","{""h"": [{""c"": {""id"": 3, ""uid"": ""csk_gHDqflMKlpWWLXg"", ""primary"": null, ""skill_id"": 425, ""search_id"": null, ""article_id"": 2, ""created_at"": ""2021-05-17T13:40:19.276126"", ""updated_at"": ""2021-05-17T13:40:19.276126""}, ""v"": 1, ""ts"": 1621258819276}, {""c"": {""primary"": true, ""updated_at"": ""2021-05-17 13:40:19.298491""}, ""v"": 2, ""ts"": 1621258819298}], ""v"": 2}",
"4","csk_bwBUdZNUh0xNLTB","t","3","245","2021-05-17 13:50:37.606975","2021-05-17 13:50:37.665015","{""h"": [{""c"": {""id"": 4, ""uid"": ""csk_bwBUdZNUh0xNLTB"", ""primary"": null, ""skill_id"": 245, ""search_id"": null, ""article_id"": 3, ""created_at"": ""2021-05-17T13:50:37.606975"", ""updated_at"": ""2021-05-17T13:50:37.606975""}, ""v"": 1, ""ts"": 1621259437607}, {""c"": {""primary"": true, ""updated_at"": ""2021-05-17 13:50:37.665015""}, ""v"": 2, ""ts"": 1621259437665}], ""v"": 2}",
"3546","csk_waOjLNTPjWR24UW",,"206","335","2022-01-25 13:35:38.349356","2022-01-25 13:35:38.349356","{""h"": [{""c"": {""id"": 3546, ""uid"": ""csk_waOjLNTPjWR24UW"", ""primary"": null, ""skill_id"": 335, ""search_id"": null, ""article_id"": 206, ""created_at"": ""2022-01-25T13:35:38.349356"", ""updated_at"": ""2022-01-25T13:35:38.349356""}, ""v"": 1, ""ts"": 1643117738349}], ""v"": 1}",
"3548","csk_ns2zg36Ec7RwjJS",,"206","526","2022-01-25 13:35:38.362617","2022-01-25 13:35:38.362617","{""h"": [{""c"": {""id"": 3548, ""uid"": ""csk_ns2zg36Ec7RwjJS"", ""primary"": null, ""skill_id"": 526, ""search_id"": null, ""article_id"": 206, ""created_at"": ""2022-01-25T13:35:38.362617"", ""updated_at"": ""2022-01-25T13:35:38.362617""}, ""v"": 1, ""ts"": 1643117738363}], ""v"": 1}",
"3549","csk_Vec0wSltdPKScUR",,"206","692","2022-01-25 13:35:38.367935","2022-01-25 13:35:38.367935","{""h"": [{""c"": {""id"": 3549, ""uid"": ""csk_Vec0wSltdPKScUR"", ""primary"": null, ""skill_id"": 692, ""search_id"": null, ""article_id"": 206, ""created_at"": ""2022-01-25T13:35:38.367935"", ""updated_at"": ""2022-01-25T13:35:38.367935""}, ""v"": 1, ""ts"": 1643117738368}], ""v"": 1}",
"3547","csk_Ll6BFlbaS2zhH2F","t","206","293","2022-01-25 13:35:38.356864","2022-01-25 13:35:38.385844","{""h"": [{""c"": {""id"": 3547, ""uid"": ""csk_Ll6BFlbaS2zhH2F"", ""primary"": null, ""skill_id"": 293, ""search_id"": null, ""article_id"": 206, ""created_at"": ""2022-01-25T13:35:38.356864"", ""updated_at"": ""2022-01-25T13:35:38.356864""}, ""v"": 1, ""ts"": 1643117738357}, {""c"": {""primary"": true, ""updated_at"": ""2022-01-25 13:35:38.385844""}, ""v"": 2, ""ts"": 1643117738386}], ""v"": 2}",
"769","csk_aB7vgAKxUZoXPGg","f",,"420","2021-08-20 18:39:30.662374","2021-08-20 18:39:30.662374","{""h"": [{""c"": {""id"": 769, ""uid"": ""csk_aB7vgAKxUZoXPGg"", ""primary"": false, ""skill_id"": 420, ""search_id"": 310, ""article_id"": null, ""created_at"": ""2021-08-20T18:39:30.662374"", ""updated_at"": ""2021-08-20T18:39:30.662374""}, ""m"": {""_r"": 30637}, ""v"": 1, ""ts"": 1629484770662}], ""v"": 1}","310"
"807","csk_jzfJdyU0Xe7csx4","f",,"1084","2021-08-26 01:25:24.06516","2021-08-26 01:25:24.06516","{""h"": [{""c"": {""id"": 807, ""uid"": ""csk_jzfJdyU0Xe7csx4"", ""primary"": false, ""skill_id"": 1084, ""search_id"": 359, ""article_id"": null, ""created_at"": ""2021-08-26T01:25:24.06516"", ""updated_at"": ""2021-08-26T01:25:24.06516""}, ""m"": {""_r"": 30427}, ""v"": 1, ""ts"": 1629941124065}], ""v"": 1}","359"
