id,skill_id,skill_category_id,created_at,updated_at
"1","5","1","2021-10-12 06:35:54.03569","2021-10-12 06:35:54.03569"
"4","358","1","2021-10-12 06:35:54.052734","2021-10-12 06:35:54.052734"
"5","268","1","2021-10-12 06:35:54.057694","2021-10-12 06:35:54.057694"
"6","1155","2","2021-10-12 06:35:54.064357","2021-10-12 06:35:54.064357"
"7","352","2","2021-10-12 06:35:54.068833","2021-10-12 06:35:54.068833"
"8","374","2","2021-10-12 06:35:54.074211","2021-10-12 06:35:54.074211"
"9","61","2","2021-10-12 06:35:54.079649","2021-10-12 06:35:54.079649"
"10","329","2","2021-10-12 06:35:54.084843","2021-10-12 06:35:54.084843"
"11","343","3","2021-10-12 06:35:54.091437","2021-10-12 06:35:54.091437"
"12","543","3","2021-10-12 06:35:54.096437","2021-10-12 06:35:54.096437"
"13","425","3","2021-10-12 06:35:54.101555","2021-10-12 06:35:54.101555"
"14","449","3","2021-10-12 06:35:54.106251","2021-10-12 06:35:54.106251"
"15","391","3","2021-10-12 06:35:54.110658","2021-10-12 06:35:54.110658"
"17","283","3","2021-10-12 06:35:54.120307","2021-10-12 06:35:54.120307"
"18","670","3","2021-10-12 06:35:54.125422","2021-10-12 06:35:54.125422"
"19","18","3","2021-10-12 06:35:54.130422","2021-10-12 06:35:54.130422"
"20","731","3","2021-10-12 06:35:54.135292","2021-10-12 06:35:54.135292"
"21","488","3","2021-10-12 06:35:54.140006","2021-10-12 06:35:54.140006"
"22","687","3","2021-10-12 06:35:54.14462","2021-10-12 06:35:54.14462"
"23","245","3","2021-10-12 06:35:54.149613","2021-10-12 06:35:54.149613"
"24","378","3","2021-10-12 06:35:54.154033","2021-10-12 06:35:54.154033"
"25","1701","4","2021-10-12 06:35:54.160396","2021-10-12 06:35:54.160396"
"26","1893","4","2021-10-12 06:35:54.165314","2021-10-12 06:35:54.165314"
"27","381","4","2021-10-12 06:35:54.170168","2021-10-12 06:35:54.170168"
"28","156","4","2021-10-12 06:35:54.17492","2021-10-12 06:35:54.17492"
"29","928","4","2021-10-12 06:35:54.179961","2021-10-12 06:35:54.179961"
"30","876","4","2021-10-12 06:35:54.185082","2021-10-12 06:35:54.185082"
"31","2618","4","2021-10-12 06:35:54.189927","2021-10-12 06:35:54.189927"
"32","515","4","2021-10-12 06:35:54.194825","2021-10-12 06:35:54.194825"
"33","1467","4","2021-10-12 06:35:54.199679","2021-10-12 06:35:54.199679"
"34","1007","4","2021-10-12 06:35:54.204596","2021-10-12 06:35:54.204596"
"35","50","4","2021-10-12 06:35:54.20896","2021-10-12 06:35:54.20896"
"36","111","4","2021-10-12 06:35:54.213168","2021-10-12 06:35:54.213168"
"37","1084","4","2021-10-12 06:35:54.217825","2021-10-12 06:35:54.217825"
"38","1426","4","2021-10-12 06:35:54.222169","2021-10-12 06:35:54.222169"
"41","675","4","2021-10-12 06:35:54.235245","2021-10-12 06:35:54.235245"
"42","557","4","2021-10-12 06:35:54.240301","2021-10-12 06:35:54.240301"
"43","295","4","2021-10-12 06:35:54.244851","2021-10-12 06:35:54.244851"
"44","1408","4","2021-10-12 06:35:54.249612","2021-10-12 06:35:54.249612"
